celltype_1,celltype_2,,,,
uniCAFs,CAFs_IFN,,,,
uniCAFs,SMC_like,,,,
uniCAFs,pSMCs,,,,
uniCAFs,Pericytes,,,,
uniCAFs,vSMCs,,,,
uniCAFs,SMCs_IFN,,,,
uniCAFs,Basal,,,,
uniCAFs,Cycling_Epi_Basal,,,,
uniCAFs,Club,,,,
uniCAFs,Cycling_Epi_Club,,,,
uniCAFs,Luminal_IFN,,,,
uniCAFs,Luminal_like,,,,
uniCAFs,Luminal,,,,
uniCAFs,Cycling_Epi_Luminal,,,,
uniCAFs,Ciliated,,,,
uniCAFs,NE,,,,
uniCAFs,Unassigned,,,,
uniCAFs,Glial_SOX10,,,,
uniCAFs,Glial_SOX10low,,,,
uniCAFs,Glial_MPZlow,,,,
uniCAFs,Myelinating_Schwann,,,,
uniCAFs,Satellite,,,,
uniCAFs,CD4_T.cells,,,,
uniCAFs,CD4_Tregs,,,,
uniCAFs,CD8_cytotoxic,,,,
uniCAFs,CD8_Trm,,,,
uniCAFs,Cycling_T.cells,,,,
uniCAFs,NK_cells,,,,
uniCAFs,NK_like_T.cells,,,,
uniCAFs,T.cells,,,,
uniCAFs,T.cells_IFN,,,,
uniCAFs,T.cells_unassigned,,,,
uniCAFs,Memory_B.cells,,,,
uniCAFs,Plasmablasts,,,,
uniCAFs,cDC1,,,,
uniCAFs,cDC2,,,,
uniCAFs,pDC,,,,
uniCAFs,mDC_regs,,,,
uniCAFs,Monocytes,,,,
uniCAFs,Macrophages,,,,
uniCAFs,Mast_cells,,,,
uniCAFs,Cycling_Myeloid,,,,
uniCAFs,ECs_Arterial,,,,
uniCAFs,ECs_Lymphatic,,,,
uniCAFs,ECs_Venous_s1,,,,
uniCAFs,ECs_Venous_s2,,,,
uniCAFs,ECs_SMC_like,,,,
uniCAFs,ECs_IFN,,,,
whCAFs,CAFs_IFN,,,,
whCAFs,SMC_like,,,,
whCAFs,pSMCs,,,,
whCAFs,Pericytes,,,,
whCAFs,vSMCs,,,,
whCAFs,SMCs_IFN,,,,
whCAFs,Basal,,,,
whCAFs,Cycling_Epi_Basal,,,,
whCAFs,Club,,,,
whCAFs,Cycling_Epi_Club,,,,
whCAFs,Luminal_IFN,,,,
whCAFs,Luminal_like,,,,
whCAFs,Luminal,,,,
whCAFs,Cycling_Epi_Luminal,,,,
whCAFs,Ciliated,,,,
whCAFs,NE,,,,
whCAFs,Unassigned,,,,
whCAFs,Glial_SOX10,,,,
whCAFs,Glial_SOX10low,,,,
whCAFs,Glial_MPZlow,,,,
whCAFs,Myelinating_Schwann,,,,
whCAFs,Satellite,,,,
whCAFs,CD4_T.cells,,,,
whCAFs,CD4_Tregs,,,,
whCAFs,CD8_cytotoxic,,,,
whCAFs,CD8_Trm,,,,
whCAFs,Cycling_T.cells,,,,
whCAFs,NK_cells,,,,
whCAFs,NK_like_T.cells,,,,
whCAFs,T.cells,,,,
whCAFs,T.cells_IFN,,,,
whCAFs,T.cells_unassigned,,,,
whCAFs,Memory_B.cells,,,,
whCAFs,Plasmablasts,,,,
whCAFs,cDC1,,,,
whCAFs,cDC2,,,,
whCAFs,pDC,,,,
whCAFs,mDC_regs,,,,
whCAFs,Monocytes,,,,
whCAFs,Macrophages,,,,
whCAFs,Mast_cells,,,,
whCAFs,Cycling_Myeloid,,,,
whCAFs,ECs_Arterial,,,,
whCAFs,ECs_Lymphatic,,,,
whCAFs,ECs_Venous_s1,,,,
whCAFs,ECs_Venous_s2,,,,
whCAFs,ECs_SMC_like,,,,
whCAFs,ECs_IFN,,,,
